,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,Thinker,BadConnection,BasicAgent,MysteryAgent,MathBreaker,LastMoveStaticAgent,LastMoveAgent,LookBackStaticAgent,LookBackAgent,QLearningStaticAgent,QLearningAgent,Mean Points,Final Score
LastMoveAgent,790.0,973.0,-780.0,493.0,-1262.0,0.0,0.0,0.0,0.0,-479.0,19.0,0.0,-526.0,0.0,-194.0,648.0,721.0,736.0,81.35714285714286,0.08119475335044198
LookBackStaticAgent,268.0,-71.0,-943.0,509.0,-1126.0,0.0,0.0,0.0,0.0,-123.0,0.0,0.0,-313.0,-186.0,0.0,642.0,730.0,740.0,9.071428571428571,0.009053321927573424
ContinueAgent,918.0,1002.0,-2088.0,1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-4986.0,0.0,708.0,612.0,816.0,804.0,804.0,870.0,-38.57142857142857,-0.03849443969204448
LastMoveStaticAgent,-8.0,-115.0,-644.0,24.0,-1198.0,0.0,0.0,0.0,0.0,-393.0,22.0,0.0,0.0,56.0,-127.0,239.0,115.0,837.0,-85.14285714285714,-0.0849729113202167
LookBackAgent,24.0,970.0,-657.0,477.0,-1134.0,0.0,0.0,0.0,0.0,-401.0,16.0,0.0,-499.0,-928.0,-1122.0,0.0,339.0,781.0,-152.42857142857142,-0.15212432278300542
BasicAgent,-162.0,334.0,-1052.0,334.0,-2338.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,183.0,-1.0,-137.0,101.0,95.0,45.0,-161.92857142857142,-0.16160536070715711
FicticiousPlay,-732.0,0.0,-499.0,1000.0,-1002.0,0.0,0.0,0.0,0.0,-334.0,-338.0,0.0,-155.0,-983.0,-99.0,-980.0,812.0,-67.0,-241.21428571428572,-0.24073282007413746
Random,-20.0,479.0,0.0,535.0,-3062.0,0.0,0.0,0.0,0.0,-728.0,-1177.0,0.0,154.0,-70.0,-487.0,77.0,226.0,120.0,-282.35714285714283,-0.2817935557456515
QLearningAgent,791.0,-43.0,-650.0,976.0,-1090.0,0.0,0.0,0.0,0.0,-155.0,-132.0,0.0,-1047.0,-1076.0,-1090.0,-1011.0,-170.0,0.0,-335.5,-0.3348303393213573
Exponential,0.0,732.0,-760.0,713.0,-1058.0,0.0,0.0,0.0,0.0,-478.0,-343.0,0.0,-352.0,-1050.0,-838.0,-434.0,101.0,-951.0,-337.0,-0.33632734530938124
QLearningStaticAgent,-691.0,-1112.0,-646.0,515.0,-1134.0,0.0,0.0,0.0,0.0,-125.0,-86.0,0.0,-325.0,-971.0,-1070.0,-649.0,0.0,-170.0,-461.7142857142857,-0.46079270031365843
SwerveAgent,-713.0,-1000.0,-535.0,0.0,-1002.0,0.0,0.0,0.0,0.0,-334.0,-5.0,0.0,-24.0,-493.0,-509.0,-477.0,-515.0,-976.0,-470.2142857142857,-0.4692757342457941
MysteryAgent,-467.0,-332.0,-1183.0,5.0,-4994.0,0.0,0.0,0.0,0.0,-331.0,0.0,0.0,-22.0,-19.0,-40.0,-36.0,-134.0,-188.0,-552.9285714285714,-0.5518249215854006
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-4652.142857142857,-4.642857142857142
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-4652.142857142857,-4.642857142857142
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
