,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,Mean Points
Exponential,0.0,739.0,-708.0,724.0,-1086.0,0.0,0.0,0.0,-365.0,-557.0,-156.625
FicticiousPlay,-739.0,0.0,-511.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-336.0,-240.25
BasicAgent,205.0,334.0,-1064.0,334.0,-2338.0,0.0,0.0,0.0,0.0,325.0,-275.5
SwerveAgent,-724.0,-1000.0,-474.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-3.0,-442.125
Random,-2.0,501.0,0.0,474.0,-2962.0,0.0,0.0,0.0,-686.0,-1131.0,-475.75
ContinueAgent,876.0,1002.0,-1938.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4992.0,-631.5
MysteryAgent,-683.0,-334.0,-1159.0,3.0,-4998.0,0.0,0.0,0.0,-335.0,0.0,-938.25
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,-4383.75
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,-4383.75
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
