,StaticRandom,CircularHotel,DelAgent,DumbChicken,E2A,EtchAgent,Eyes,GoodBot,HiBot,Jimbus,Kamen,QQQ,Random,Spinner,Sticky,TeamPlayer,Zenly,Mean Points
DelAgent,76020.0,78778.0,0.0,76786.0,75003.0,77287.0,73673.0,77841.0,76568.0,74167.0,76024.0,74114.0,74276.0,75648.0,76475.0,74540.0,75424.0,75789.0
E2A,77413.0,78620.0,73951.0,75833.0,0.0,76755.0,73878.0,79367.0,76502.0,73801.0,75600.0,74038.0,74357.0,74708.0,77281.0,74577.0,75763.0,75777.75
TeamPlayer,76995.0,76834.0,73506.0,76740.0,73639.0,76909.0,72753.0,76788.0,75480.0,73759.0,76921.0,74279.0,74703.0,75275.0,75495.0,0.0,72978.0,75190.875
Jimbus,78894.0,77048.0,73188.0,74784.0,74459.0,74953.0,74173.0,78003.0,74520.0,0.0,75281.0,73917.0,74254.0,75171.0,73540.0,74322.0,75073.0,75098.75
Eyes,75284.0,75955.0,71613.0,72943.0,72705.0,74703.0,0.0,79020.0,75771.0,72799.0,75714.0,74360.0,74251.0,76478.0,75861.0,72979.0,71842.0,74517.375
Zenly,73415.0,77530.0,71832.0,74685.0,73172.0,74399.0,73271.0,75539.0,74832.0,72652.0,74863.0,73122.0,74713.0,75933.0,73307.0,72355.0,0.0,74101.25
DumbChicken,74094.0,71399.0,74519.0,0.0,73996.0,75031.0,73943.0,73911.0,73000.0,73316.0,70724.0,72620.0,74378.0,74546.0,74847.0,72830.0,74376.0,73595.625
EtchAgent,71146.0,68646.0,72744.0,75296.0,72880.0,0.0,72908.0,70827.0,76676.0,73424.0,76353.0,72643.0,73988.0,73207.0,73311.0,73131.0,75334.0,73282.125
Sticky,74616.0,73123.0,69796.0,72366.0,70516.0,72175.0,71537.0,77510.0,72896.0,73144.0,74005.0,73847.0,74315.0,74203.0,0.0,72571.0,72554.0,73073.375
QQQ,73450.0,74331.0,70488.0,73510.0,71399.0,73275.0,70944.0,79636.0,74148.0,70882.0,74308.0,0.0,73200.0,74968.0,72677.0,69759.0,69939.0,72932.125
StaticRandom,0.0,73219.0,71311.0,75266.0,72308.0,68503.0,72822.0,71872.0,74678.0,72225.0,73916.0,72640.0,73567.0,74296.0,70845.0,73141.0,74847.0,72841.0
CircularHotel,71498.0,0.0,73261.0,66591.0,70217.0,67221.0,71851.0,69628.0,73771.0,71551.0,71767.0,72102.0,73399.0,73545.0,73247.0,71868.0,72473.0,71499.375
Kamen,70337.0,71046.0,70366.0,71061.0,70246.0,73851.0,70505.0,73424.0,71908.0,71493.0,0.0,71741.0,73502.0,73514.0,69642.0,70561.0,70343.0,71471.25
Random,70308.0,71798.0,68625.0,70445.0,68898.0,70534.0,69844.0,75640.0,73522.0,69357.0,71517.0,71460.0,0.0,74335.0,69979.0,68963.0,68917.0,70883.875
HiBot,67807.0,71600.0,67036.0,67236.0,66657.0,71584.0,69480.0,73781.0,0.0,68294.0,68315.0,71353.0,72350.0,73466.0,68618.0,68053.0,69044.0,69667.125
Spinner,68497.0,68751.0,67701.0,68839.0,66754.0,69087.0,67966.0,75194.0,73086.0,67583.0,70598.0,70429.0,71789.0,0.0,68776.0,67145.0,67513.0,69356.75
GoodBot,62778.0,64607.0,69031.0,64134.0,66209.0,62756.0,69593.0,0.0,70585.0,66043.0,67604.0,69158.0,71167.0,71133.0,66792.0,66958.0,66050.0,67162.375
